MODEL_CATALOG	MODEL_SCHEMA	MODEL_NAME	ATTRIBUTE_NAME	NODE_NAME	NODE_UNIQUE_NAME	NODE_TYPE	NODE_GUID	NODE_CAPTION	CHILDREN_CARDINALITY	PARENT_UNIQUE_NAME	NODE_DESCRIPTION	NODE_RULE	MARGINAL_RULE	NODE_PROBABILITY	MARGINAL_PROBABILITY	NODE_DISTRIBUTION	NODE_SUPPORT	MSOLAP_MODEL_COLUMN	MSOLAP_NODE_SCORE	MSOLAP_NODE_SHORT_CAPTION
Analysis Services Project2		Process Events		0	0	1		Association Rules Model	2905		Association Rules Model; ITEMSET_COUNT=1206; RULE_COUNT=1699; MIN_SUPPORT=280; MAX_SUPPORT=164118; MIN_ITEMSET_SIZE=0; MAX_ITEMSET_SIZE=3; MIN_PROBABILITY=0.402122641509434; MAX_PROBABILITY=1; MIN_LIFT=-0.256124821879072; MAX_LIFT=5.13502116023326			0	0	NODE_DISTRIBUTION	164118		0	
Analysis Services Project2		Process Events		100	100	7		Status = Process Run	0	0	Status = Process Run			1	1	NODE_DISTRIBUTION	164118		1	
Analysis Services Project2		Process Events		99	99	7		Duration < 2827	0	0	Duration < 2827			0,840377045784131	0,840377045784131	NODE_DISTRIBUTION	137921		1	
Analysis Services Project2		Process Events		1206	1206	7		Duration < 2827, Status = Process Run	0	0	Duration < 2827, Status = Process Run			0,840377045784131	0,840377045784131	NODE_DISTRIBUTION	137921		1	
Analysis Services Project2		Process Events		1204	1204	7		User Domain Name = NT AUTHORITY, Status = Process Run	0	0	User Domain Name = NT AUTHORITY, Status = Process Run			0,83319928344240124	0,83319928344240124	NODE_DISTRIBUTION	136743		1	
Analysis Services Project2		Process Events		1201	1201	7		User Name = SYSTEM, User Domain Name = NT AUTHORITY, Status = Process Run	0	0	User Name = SYSTEM, User Domain Name = NT AUTHORITY, Status = Process Run			0,83319928344240124	0,83319928344240124	NODE_DISTRIBUTION	136743		0,83319928344240124	
Analysis Services Project2		Process Events		1197	1197	7		User Name = SYSTEM, User Domain Name = NT AUTHORITY	0	0	User Name = SYSTEM, User Domain Name = NT AUTHORITY			0,83319928344240124	0,83319928344240124	NODE_DISTRIBUTION	136743		0,83319928344240124	
Analysis Services Project2		Process Events		98	98	7		User Domain Name = NT AUTHORITY	0	0	User Domain Name = NT AUTHORITY			0,83319928344240124	0,83319928344240124	NODE_DISTRIBUTION	136743		1	
Analysis Services Project2		Process Events		1199	1199	7		User Name = SYSTEM, Status = Process Run	0	0	User Name = SYSTEM, Status = Process Run			0,83319928344240124	0,83319928344240124	NODE_DISTRIBUTION	136743		1	
Analysis Services Project2		Process Events		97	97	7		User Name = SYSTEM	0	0	User Name = SYSTEM			0,83319928344240124	0,83319928344240124	NODE_DISTRIBUTION	136743		1	
Analysis Services Project2		Process Events		1198	1198	7		User Name = SYSTEM, Duration < 2827	0	0	User Name = SYSTEM, Duration < 2827			0,73024287402966159	0,73024287402966159	NODE_DISTRIBUTION	119846		0,9588611916264157	
Analysis Services Project2		Process Events		1203	1203	7		User Domain Name = NT AUTHORITY, Duration < 2827	0	0	User Domain Name = NT AUTHORITY, Duration < 2827			0,73024287402966159	0,73024287402966159	NODE_DISTRIBUTION	119846		0,9588611916264157	
Analysis Services Project2		Process Events		1205	1205	7		User Domain Name = NT AUTHORITY, Duration < 2827, Status = Process Run	0	0	User Domain Name = NT AUTHORITY, Duration < 2827, Status = Process Run			0,73024287402966159	0,73024287402966159	NODE_DISTRIBUTION	119846		0,83319928344240124	
Analysis Services Project2		Process Events		1202	1202	7		User Name = SYSTEM, Duration < 2827, Status = Process Run	0	0	User Name = SYSTEM, Duration < 2827, Status = Process Run			0,73024287402966159	0,73024287402966159	NODE_DISTRIBUTION	119846		0,83319928344240124	
Analysis Services Project2		Process Events		1200	1200	7		User Name = SYSTEM, User Domain Name = NT AUTHORITY, Duration < 2827	0	0	User Name = SYSTEM, User Domain Name = NT AUTHORITY, Duration < 2827			0,73024287402966159	0,73024287402966159	NODE_DISTRIBUTION	119846		0,79892245778385662	
Analysis Services Project2		Process Events		1190	1190	7		Parent = Unknown Process, Status = Process Run	0	0	Parent = Unknown Process, Status = Process Run			0,64116062832839782	0,64116062832839782	NODE_DISTRIBUTION	105226		1,0000000000000002	
Analysis Services Project2		Process Events		96	96	7		Parent = Unknown Process	0	0	Parent = Unknown Process			0,64116062832839782	0,64116062832839782	NODE_DISTRIBUTION	105226		1	
Analysis Services Project2		Process Events		1193	1193	7		Parent = Unknown Process, User Name = SYSTEM, Status = Process Run	0	0	Parent = Unknown Process, User Name = SYSTEM, Status = Process Run			0,62041945429508039	0,62041945429508039	NODE_DISTRIBUTION	101822		0,64116062832839793	
Analysis Services Project2		Process Events		1191	1191	7		Parent = Unknown Process, User Name = SYSTEM, User Domain Name = NT AUTHORITY	0	0	Parent = Unknown Process, User Name = SYSTEM, User Domain Name = NT AUTHORITY			0,62041945429508039	0,62041945429508039	NODE_DISTRIBUTION	101822		0,53421457609470091	
Analysis Services Project2		Process Events		1188	1188	7		Parent = Unknown Process, User Domain Name = NT AUTHORITY	0	0	Parent = Unknown Process, User Domain Name = NT AUTHORITY			0,62041945429508039	0,62041945429508039	NODE_DISTRIBUTION	101822		0,861053876367682	
Analysis Services Project2		Process Events		1187	1187	7		Parent = Unknown Process, User Name = SYSTEM	0	0	Parent = Unknown Process, User Name = SYSTEM			0,62041945429508039	0,62041945429508039	NODE_DISTRIBUTION	101822		0,861053876367682	
Analysis Services Project2		Process Events		1195	1195	7		Parent = Unknown Process, User Domain Name = NT AUTHORITY, Status = Process Run	0	0	Parent = Unknown Process, User Domain Name = NT AUTHORITY, Status = Process Run			0,62041945429508039	0,62041945429508039	NODE_DISTRIBUTION	101822		0,64116062832839793	
Analysis Services Project2		Process Events		1196	1196	7		Parent = Unknown Process, Duration < 2827, Status = Process Run	0	0	Parent = Unknown Process, Duration < 2827, Status = Process Run			0,54052571929952842	0,54052571929952842	NODE_DISTRIBUTION	88710		0,64116062832839793	
Analysis Services Project2		Process Events		1189	1189	7		Parent = Unknown Process, Duration < 2827	0	0	Parent = Unknown Process, Duration < 2827			0,54052571929952842	0,54052571929952842	NODE_DISTRIBUTION	88710		0,99683818081029163	
Analysis Services Project2		Process Events		1194	1194	7		Parent = Unknown Process, User Domain Name = NT AUTHORITY, Duration < 2827	0	0	Parent = Unknown Process, User Domain Name = NT AUTHORITY, Duration < 2827			0,52956409412739613	0,52956409412739613	NODE_DISTRIBUTION	86911		0,6312594660294909	
Analysis Services Project2		Process Events		1192	1192	7		Parent = Unknown Process, User Name = SYSTEM, Duration < 2827	0	0	Parent = Unknown Process, User Name = SYSTEM, Duration < 2827			0,52956409412739613	0,52956409412739613	NODE_DISTRIBUTION	86911		0,6312594660294909	
